metric,setting,algorithm,n,mean,std,ci_low,ci_high
Average coverage-quality ratio (Cavg),"Default, N=500, K=5, T=2000s",SCOPE,50,0.933402321948,0.00987782269053,0.930595075804,0.936209568092
Average coverage-quality ratio (Cavg),"Default, N=500, K=5, T=2000s",MC3,50,0.882365736111,0.0196755569957,0.87677400469,0.887957467532
Average coverage-quality ratio (Cavg),"Default, N=500, K=5, T=2000s",CAERM,50,0.796416669859,0.0461597350707,0.783298218318,0.809535121399
Average coverage-quality ratio (Cavg),"Default, N=500, K=5, T=2000s",Dist-Greedy,50,0.711794575454,0.0924990894349,0.685506625135,0.738082525774
Travel-normalized charging efficiency,"Dense network, N=600",SCOPE,50,0.876248095424,0.170431181516,0.827812089623,0.924684101226
Travel-normalized charging efficiency,"Dense network, N=600",MC3,50,0.725409507739,0.217565440746,0.663578093696,0.787240921783
Travel-normalized charging efficiency,"Dense network, N=600",CAERM,50,0.557724179488,0.0682896689441,0.538316470337,0.57713188864
Travel-normalized charging efficiency,"Dense network, N=600",Dist-Greedy,50,0.545545717115,0.0627559040769,0.527710686536,0.563380747694
Dead-node ratio (%),"Default charger setting, K=5",SCOPE,50,4.42845882947,0.742087430926,4.21755991537,4.63935774356
Dead-node ratio (%),"Default charger setting, K=5",MC3,50,8.56173934793,1.70260554062,8.07786420777,9.04561448809
Dead-node ratio (%),"Default charger setting, K=5",CAERM,50,16.917501825,3.33163980643,15.9706602697,17.8643433804
Dead-node ratio (%),"Default charger setting, K=5",Dist-Greedy,50,23.0674989369,6.41981566147,21.2430075155,24.8919903584
Average charging latency (s),"Default charger setting, K=5",SCOPE,50,68.8418388546,32.4771880765,59.61192414,78.0717535691
Average charging latency (s),"Default charger setting, K=5",MC3,50,76.2513146012,39.1223273042,65.1328722163,87.3697569862
Average charging latency (s),"Default charger setting, K=5",CAERM,50,81.1411958365,15.4750925954,76.7432231882,85.5391684849
Average charging latency (s),"Default charger setting, K=5",Dist-Greedy,50,81.7942410843,15.0494528018,77.5172339267,86.0712482419
Utility-normalized charging efficiency,"Dense network, N=600",SCOPE,50,7.95805722284,0.746477578544,7.7459106426,8.17020380308
Utility-normalized charging efficiency,"Dense network, N=600",MC3,50,6.23881556748,0.617732741139,6.06325786514,6.41437326982
Utility-normalized charging efficiency,"Dense network, N=600",CAERM,50,4.91844472317,0.901996553443,4.66210013935,5.17478930699
Utility-normalized charging efficiency,"Dense network, N=600",Dist-Greedy,50,2.79836382686,1.12582078808,2.47840909945,3.11831855426
Computation time per decision (ms),"Dense network, N=600",SCOPE,50,44.738803019,2.8498845719,43.9288747862,45.5487312518
Computation time per decision (ms),"Dense network, N=600",MC3,50,724.197315823,37.503766387,713.53886336,734.855768285
Computation time per decision (ms),"Dense network, N=600",CAERM,50,971.87471947,56.2932659236,955.87635033,987.87308861
Computation time per decision (ms),"Dense network, N=600",Dist-Greedy,50,8.42500488437,1.10037670705,8.11228128477,8.73772848396
